data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,LabelEncodingPairwise,0.00199300648336813,0.05580418153430764,OneHot,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,bulges,2.9179259112846428e-09,8.170192551596999e-08,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,MM,1.827604072577997e-11,5.117291403218392e-10,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,OneHotVstack,1.4453838222541392e-05,0.000404707470231159,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,kmer,6.585547938561033e-13,1.8439534227970892e-11,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,LabelEncodingPairwise,5.403511481168228e-06,0.0001512983214727104,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,bulges,2.806100437292212e-06,7.857081224418194e-05,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,MM,6.585547938561033e-13,1.8439534227970892e-11,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,kmer,2.7103577864217263e-09,7.589001801980834e-08,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,LabelEncodingPairwise,0.21125804622827726,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,bulges,1.5802242527144832e-11,4.424627907600553e-10,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,MM,2.7103577864217263e-09,7.589001801980834e-08,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,kmer,LabelEncodingPairwise,1.058496326655014e-07,2.963789714634039e-06,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,kmer,bulges,2.0625257889067294e-18,5.775072208938843e-17,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,kmer,MM,0.7466737197676384,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,LabelEncodingPairwise,bulges,8.792235013811872e-11,2.461825803867324e-09,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,LabelEncodingPairwise,MM,1.058496326655014e-07,2.963789714634039e-06,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,bulges,MM,2.0625257889067294e-18,5.775072208938843e-17,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,OneHot,2.762474870956317e-11,7.734929638677688e-10,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,OneHot5Channel,0.020486271422737158,0.5736155998366405,NPM,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,OneHotVstack,2.561762105771001e-07,7.172933896158802e-06,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,kmer,3.090276051159025e-19,8.65277294324527e-18,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,LabelEncodingPairwise,2.724202267783446e-12,7.627766349793649e-11,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,bulges,0.8147506679435857,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,NPM,MM,2.9252331831645265e-19,8.190652912860675e-18,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,OneHot5Channel,3.7085161631886504e-06,0.00010383845256928221,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,OneHotVstack,0.008880453593247298,0.24865270061092437,OneHotVstack,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,kmer,2.4616712880236633e-17,6.892679606466258e-16,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,LabelEncodingPairwise,0.4840008554493862,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,bulges,7.794131183525982e-11,2.182356731387275e-09,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot,MM,2.1063517954621787e-17,5.8977850272941e-16,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot5Channel,OneHotVstack,0.0029166463421838565,0.08166609758114798,OneHot5Channel,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot5Channel,kmer,4.9445953622433644e-17,1.384486701428142e-15,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot5Channel,LabelEncodingPairwise,4.006850607350664e-05,0.0011219181700581858,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot5Channel,bulges,0.02236771683407044,0.6262960713539724,bulges,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHot5Channel,MM,4.347639348913468e-17,1.2173390176957712e-15,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHotVstack,kmer,1.51924599867791e-16,4.253888796298148e-15,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHotVstack,LabelEncodingPairwise,0.00819734329909124,0.22952561237455474,OneHotVstack,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHotVstack,bulges,2.4987214646963367e-08,6.996420101149743e-07,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,OneHotVstack,MM,1.2092875277838894e-16,3.3860050777948905e-15,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,kmer,LabelEncodingPairwise,3.8113601801553634e-18,1.0671808504435018e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,kmer,bulges,2.102859228438897e-19,5.888005839628911e-18,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,kmer,MM,0.5304467136073835,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,LabelEncodingPairwise,bulges,7.748400374252761e-12,2.169552104790773e-10,bulges,,,True,True
