encoding,aupr_mean,aupr_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
NPM,0.6112,0.1641,0.9776,0.0462,0.9897,0.0084,0.3651,0.2548,0.7077,0.2287,0.3872,0.1864
OneHot,0.5151,0.1647,0.9702,0.0482,0.9896,0.0108,0.456,0.312,0.5072,0.3061,0.3155,0.1757
OneHot5Channel,0.5635,0.1666,0.973,0.048,0.9915,0.0094,0.4942,0.3038,0.5189,0.2911,0.3545,0.1693
LabelEncodingPairwise,0.5719,0.1596,0.9741,0.0484,0.9908,0.01,0.4757,0.2889,0.5571,0.2713,0.3893,0.1707
OneHotVstack,0.4781,0.1619,0.9621,0.0549,0.992,0.0094,0.4825,0.2571,0.4524,0.2765,0.3468,0.138
MM,0.3448,0.1479,0.9478,0.0552,0.9223,0.026,0.0733,0.1057,0.7928,0.1738,0.1097,0.1148
kmer,0.3448,0.1479,0.9478,0.0552,0.9223,0.026,0.0733,0.1057,0.7928,0.1738,0.1097,0.1148
bulges,0.612,0.165,0.9778,0.0458,0.9898,0.0084,0.3647,0.2539,0.7093,0.2289,0.388,0.1872
